Product_ID,Product_Name,SKU_Code,Batch_Number,Manufacture_Date,Expiry_Date,Quantity_Available,Unit_Weight (kg),Unit_Volume (L),Fragile_Flag,Temp_Sensitive_Flag
SUP-1040-B15-434,VeeCal-D Pet,SKU-1040,B15,2024-06-02,2025-11-24,183,2.5,1.2,0,0
SUP-1041-B44-434,VeeCal-D Pet,SKU-1041,B44,2024-08-15,2026-02-06,145,2.5,1.2,0,0
ANT-1042-B56-789,VeeCef Injection 1gm,SKU-1042,B56,2023-05-10,2024-07-03,135,3.0,1.5,1,1
SUP-1043-B51-434,VeeCal-D Pet,SKU-1043,B51,2023-10-22,2025-04-14,129,2.5,1.2,0,0
DEW-1044-B35-795,VeeWormex Plus,SKU-1044,B35,2025-01-11,2027-01-01,110,0.6,0.25,0,0
ANT-1045-B50-789,VeeCef Injection 1gm,SKU-1045,B50,2025-03-03,2026-04-27,75,3.0,1.5,1,1
VIT-1046-B34-285,VeeVit-L Oral,SKU-1046,B34,2023-09-21,2024-09-15,168,0.5,0.3,0,0
VIT-1047-B24-285,VeeVit-L Oral,SKU-1047,B24,2024-12-01,2025-11-26,152,0.5,0.3,0,0
ANT-1048-B11-295,VeeOxy-4000,SKU-1048,B11,2023-10-22,2024-12-15,194,2.8,1.4,1,1
ANT-1049-B33-295,VeeOxy-4000,SKU-1049,B33,2024-11-12,2026-01-06,67,2.8,1.4,1,1
DIG-1050-B81-185,VeeLac Bolus,SKU-1050,B81,2025-03-01,2026-06-24,55,1.2,0.7,0,0
SUP-1051-B85-434,VeeCal-D Pet,SKU-1051,B85,2023-04-30,2024-10-21,184,2.5,1.2,0,0
DEW-1052-B75-795,VeeWormex Plus,SKU-1052,B75,2025-05-06,2027-04-26,192,0.6,0.25,0,0
DIG-1053-B54-185,VeeLac Bolus,SKU-1053,B54,2022-08-12,2023-12-05,131,1.2,0.7,0,0
VIT-1054-B47-285,VeeVit-L Oral,SKU-1054,B47,2023-11-17,2024-11-11,80,0.5,0.3,0,0
ANT-1055-B18-295,VeeOxy-4000,SKU-1055,B18,2023-05-11,2024-07-04,116,2.8,1.4,1,1
SUP-1056-B88-434,VeeCal-D Pet,SKU-1056,B88,2024-06-13,2025-12-05,174,2.5,1.2,0,0
IMM-1057-B77-384,VeeMune-L,SKU-1057,B77,2024-04-05,2025-01-30,182,1.0,0.6,0,1
TOP-1058-B12-854,VeeTherm Gel,SKU-1058,B12,2024-04-22,2025-12-13,171,1.8,1.0,1,0
SUP-1059-B84-434,VeeCal-D Pet,SKU-1059,B84,2025-03-30,2026-09-21,184,2.5,1.2,0,0
VIT-1060-B83-285,VeeVit-L Oral,SKU-1060,B83,2025-01-18,2026-01-13,77,0.5,0.3,0,0
DEW-1061-B43-795,VeeWormex Plus,SKU-1061,B43,2024-10-06,2026-09-26,70,0.6,0.25,0,0
SUP-1062-B29-434,VeeCal-D Pet,SKU-1062,B29,2022-07-31,2024-01-22,176,2.5,1.2,0,0
VIT-1063-B64-285,VeeVit-L Oral,SKU-1063,B64,2024-05-06,2025-05-01,93,0.5,0.3,0,0
SUP-1064-B83-434,VeeCal-D Pet,SKU-1064,B83,2023-07-11,2025-01-01,141,2.5,1.2,0,0
DIG-1065-B11-185,VeeLac Bolus,SKU-1065,B11,2024-06-30,2025-10-23,67,1.2,0.7,0,0
ANT-1066-B98-295,VeeOxy-4000,SKU-1066,B98,2024-12-24,2026-02-17,74,2.8,1.4,1,1
DEW-1067-B96-795,VeeWormex Plus,SKU-1067,B96,2025-04-21,2027-04-11,73,0.6,0.25,0,0
ANT-1068-B74-789,VeeCef Injection 1gm,SKU-1068,B74,2023-12-18,2025-02-10,196,3.0,1.5,1,1
ANT-1069-B85-789,VeeCef Injection 1gm,SKU-1069,B85,2024-01-04,2025-02-27,69,3.0,1.5,1,1
VIT-1070-B55-285,VeeVit-L Oral,SKU-1070,B55,2022-10-08,2023-10-03,56,0.5,0.3,0,0
DIG-1071-B10-185,VeeLac Bolus,SKU-1071,B10,2024-05-20,2025-09-12,93,1.2,0.7,0,0
ANT-1072-B81-295,VeeOxy-4000,SKU-1072,B81,2024-03-02,2025-04-26,147,2.8,1.4,1,1
SUP-1073-B31-434,VeeCal-D Pet,SKU-1073,B31,2024-09-22,2026-03-16,112,2.5,1.2,0,0
IMM-1074-B47-384,VeeMune-L,SKU-1074,B47,2024-06-03,2025-03-30,83,1.0,0.6,0,1
DEW-1075-B42-795,VeeWormex Plus,SKU-1075,B42,2025-03-19,2027-03-09,119,0.6,0.25,0,0
IMM-1076-B11-384,VeeMune-L,SKU-1076,B11,2024-06-09,2025-04-05,98,1.0,0.6,0,1
DIG-1077-B55-185,VeeLac Bolus,SKU-1077,B55,2023-08-11,2024-12-03,89,1.2,0.7,0,0
TOP-1078-B35-854,VeeTherm Gel,SKU-1078,B35,2024-09-01,2026-04-24,60,1.8,1.0,1,0
VIT-1079-B59-285,VeeVit-L Oral,SKU-1079,B59,2024-05-26,2025-05-21,101,0.5,0.3,0,0
VIT-1080-B80-285,VeeVit-L Oral,SKU-1080,B80,2025-05-28,2026-05-23,86,0.5,0.3,0,0
TOP-1081-B36-854,VeeTherm Gel,SKU-1081,B36,2023-09-25,2025-05-17,136,1.8,1.0,1,0
VIT-1082-B59-285,VeeVit-L Oral,SKU-1082,B59,2025-02-16,2026-02-11,130,0.5,0.3,0,0
IMM-1083-B98-384,VeeMune-L,SKU-1083,B98,2024-04-16,2025-02-10,95,1.0,0.6,0,1
IMM-1084-B92-384,VeeMune-L,SKU-1084,B92,2024-10-08,2025-08-04,119,1.0,0.6,0,1
IMM-1085-B46-384,VeeMune-L,SKU-1085,B46,2025-03-19,2026-01-13,130,1.0,0.6,0,1
DIG-1086-B83-185,VeeLac Bolus,SKU-1086,B83,2025-05-24,2026-09-16,131,1.2,0.7,0,0
ANT-1087-B11-789,VeeCef Injection 1gm,SKU-1087,B11,2023-07-04,2024-08-27,64,3.0,1.5,1,1
IMM-1088-B90-384,VeeMune-L,SKU-1088,B90,2025-01-21,2025-11-17,70,1.0,0.6,0,1
DIG-1089-B64-185,VeeLac Bolus,SKU-1089,B64,2024-06-12,2025-10-05,147,1.2,0.7,0,0
ANT-1090-B61-295,VeeOxy-4000,SKU-1090,B61,2024-03-07,2025-05-01,61,2.8,1.4,1,1
ANT-1091-B91-789,VeeCef Injection 1gm,SKU-1091,B91,2023-06-07,2024-07-31,182,3.0,1.5,1,1
IMM-1092-B21-384,VeeMune-L,SKU-1092,B21,2023-11-23,2024-09-18,113,1.0,0.6,0,1
VIT-1093-B38-285,VeeVit-L Oral,SKU-1093,B38,2023-05-28,2024-05-22,51,0.5,0.3,0,0
IMM-1094-B48-384,VeeMune-L,SKU-1094,B48,2025-05-08,2026-03-04,109,1.0,0.6,0,1
DIG-1095-B54-185,VeeLac Bolus,SKU-1095,B54,2023-01-03,2024-04-27,130,1.2,0.7,0,0
DIG-1096-B88-185,VeeLac Bolus,SKU-1096,B88,2025-02-17,2026-06-12,76,1.2,0.7,0,0
VIT-1097-B62-285,VeeVit-L Oral,SKU-1097,B62,2023-03-21,2024-03-15,195,0.5,0.3,0,0
IMM-1098-B84-384,VeeMune-L,SKU-1098,B84,2023-11-25,2024-09-20,51,1.0,0.6,0,1
SUP-1099-B65-434,VeeCal-D Pet,SKU-1099,B65,2023-04-24,2024-10-15,126,2.5,1.2,0,0
IMM-1100-B65-384,VeeMune-L,SKU-1100,B65,2023-11-06,2024-09-01,123,1.0,0.6,0,1
DIG-1101-B51-185,VeeLac Bolus,SKU-1101,B51,2022-11-12,2024-03-06,126,1.2,0.7,0,0
IMM-1102-B87-384,VeeMune-L,SKU-1102,B87,2023-07-25,2024-05-20,70,1.0,0.6,0,1
IMM-1103-B54-384,VeeMune-L,SKU-1103,B54,2025-02-02,2025-11-29,128,1.0,0.6,0,1
IMM-1104-B95-384,VeeMune-L,SKU-1104,B95,2023-10-23,2024-08-18,171,1.0,0.6,0,1
DIG-1105-B99-185,VeeLac Bolus,SKU-1105,B99,2022-11-15,2024-03-09,108,1.2,0.7,0,0
DIG-1106-B45-185,VeeLac Bolus,SKU-1106,B45,2023-09-22,2025-01-14,89,1.2,0.7,0,0
SUP-1107-B27-434,VeeCal-D Pet,SKU-1107,B27,2025-06-08,2026-11-30,87,2.5,1.2,0,0
ANT-1108-B50-295,VeeOxy-4000,SKU-1108,B50,2024-03-16,2025-05-10,134,2.8,1.4,1,1
SUP-1109-B96-434,VeeCal-D Pet,SKU-1109,B96,2022-10-20,2024-04-12,95,2.5,1.2,0,0
DIG-1110-B95-185,VeeLac Bolus,SKU-1110,B95,2023-03-13,2024-07-05,50,1.2,0.7,0,0
DEW-1111-B24-795,VeeWormex Plus,SKU-1111,B24,2022-09-29,2024-09-18,138,0.6,0.25,0,0
IMM-1112-B53-384,VeeMune-L,SKU-1112,B53,2025-02-09,2025-12-06,53,1.0,0.6,0,1
SUP-1113-B22-434,VeeCal-D Pet,SKU-1113,B22,2024-02-27,2025-08-20,148,2.5,1.2,0,0
DEW-1114-B47-795,VeeWormex Plus,SKU-1114,B47,2023-10-01,2025-09-20,163,0.6,0.25,0,0
ANT-1115-B91-295,VeeOxy-4000,SKU-1115,B91,2025-01-20,2026-03-16,120,2.8,1.4,1,1
DEW-1116-B83-795,VeeWormex Plus,SKU-1116,B83,2025-05-29,2027-05-19,105,0.6,0.25,0,0
DIG-1117-B90-185,VeeLac Bolus,SKU-1117,B90,2024-02-06,2025-05-31,91,1.2,0.7,0,0
VIT-1118-B39-285,VeeVit-L Oral,SKU-1118,B39,2022-12-16,2023-12-11,129,0.5,0.3,0,0
VIT-1119-B87-285,VeeVit-L Oral,SKU-1119,B87,2023-09-23,2024-09-17,53,0.5,0.3,0,0
IMM-1120-B75-384,VeeMune-L,SKU-1120,B75,2023-11-08,2024-09-03,132,1.0,0.6,0,1
ANT-1121-B48-295,VeeOxy-4000,SKU-1121,B48,2024-12-02,2026-01-26,78,2.8,1.4,1,1
ANT-1122-B15-789,VeeCef Injection 1gm,SKU-1122,B15,2025-06-07,2026-08-01,135,3.0,1.5,1,1
DIG-1123-B59-185,VeeLac Bolus,SKU-1123,B59,2023-08-04,2024-11-26,193,1.2,0.7,0,0
IMM-1124-B91-384,VeeMune-L,SKU-1124,B91,2023-11-17,2024-09-12,101,1.0,0.6,0,1
VIT-1125-B41-285,VeeVit-L Oral,SKU-1125,B41,2024-01-08,2025-01-02,118,0.5,0.3,0,0
ANT-1126-B95-295,VeeOxy-4000,SKU-1126,B95,2023-07-11,2024-09-03,181,2.8,1.4,1,1
SUP-1127-B14-434,VeeCal-D Pet,SKU-1127,B14,2025-04-08,2026-09-30,113,2.5,1.2,0,0
ANT-1128-B55-789,VeeCef Injection 1gm,SKU-1128,B55,2024-05-05,2025-06-29,190,3.0,1.5,1,1
SUP-1129-B62-434,VeeCal-D Pet,SKU-1129,B62,2025-05-23,2026-11-14,89,2.5,1.2,0,0
TOP-1130-B59-854,VeeTherm Gel,SKU-1130,B59,2023-04-04,2024-11-24,83,1.8,1.0,1,0
ANT-1131-B48-295,VeeOxy-4000,SKU-1131,B48,2023-09-10,2024-11-03,67,2.8,1.4,1,1
ANT-1132-B36-789,VeeCef Injection 1gm,SKU-1132,B36,2025-05-03,2026-06-27,86,3.0,1.5,1,1
VIT-1133-B99-285,VeeVit-L Oral,SKU-1133,B99,2022-09-29,2023-09-24,151,0.5,0.3,0,0
ANT-1134-B35-789,VeeCef Injection 1gm,SKU-1134,B35,2022-09-20,2023-11-14,54,3.0,1.5,1,1
TOP-1135-B83-854,VeeTherm Gel,SKU-1135,B83,2024-06-28,2026-02-18,81,1.8,1.0,1,0
DIG-1136-B31-185,VeeLac Bolus,SKU-1136,B31,2024-01-14,2025-05-08,156,1.2,0.7,0,0
ANT-1137-B85-789,VeeCef Injection 1gm,SKU-1137,B85,2025-02-05,2026-04-01,67,3.0,1.5,1,1
DEW-1138-B28-795,VeeWormex Plus,SKU-1138,B28,2022-07-23,2024-07-12,79,0.6,0.25,0,0
DEW-1139-B95-795,VeeWormex Plus,SKU-1139,B95,2023-07-08,2025-06-27,81,0.6,0.25,0,0
VIT-1140-B91-285,VeeVit-L Oral,SKU-1140,B91,2023-09-27,2024-09-21,117,0.5,0.3,0,0
TOP-1141-B54-854,VeeTherm Gel,SKU-1141,B54,2025-01-01,2026-08-24,118,1.8,1.0,1,0
VIT-1142-B41-285,VeeVit-L Oral,SKU-1142,B41,2025-03-12,2026-03-07,114,0.5,0.3,0,0
VIT-1143-B77-285,VeeVit-L Oral,SKU-1143,B77,2024-01-09,2025-01-03,199,0.5,0.3,0,0
DIG-1144-B87-185,VeeLac Bolus,SKU-1144,B87,2023-07-08,2024-10-30,169,1.2,0.7,0,0
VIT-1145-B35-285,VeeVit-L Oral,SKU-1145,B35,2023-07-10,2024-07-04,69,0.5,0.3,0,0
TOP-1146-B44-854,VeeTherm Gel,SKU-1146,B44,2025-04-06,2026-11-27,153,1.8,1.0,1,0
TOP-1147-B39-854,VeeTherm Gel,SKU-1147,B39,2024-11-10,2026-07-03,126,1.8,1.0,1,0
VIT-1148-B66-285,VeeVit-L Oral,SKU-1148,B66,2023-01-30,2024-01-25,59,0.5,0.3,0,0
DIG-1149-B57-185,VeeLac Bolus,SKU-1149,B57,2025-06-03,2026-09-26,114,1.2,0.7,0,0
DEW-1150-B89-795,VeeWormex Plus,SKU-1150,B89,2023-10-24,2025-10-13,69,0.6,0.25,0,0
IMM-1151-B76-384,VeeMune-L,SKU-1151,B76,2024-04-17,2025-02-11,53,1.0,0.6,0,1
IMM-1152-B47-384,VeeMune-L,SKU-1152,B47,2023-10-12,2024-08-07,57,1.0,0.6,0,1
SUP-1153-B34-434,VeeCal-D Pet,SKU-1153,B34,2025-04-16,2026-10-08,101,2.5,1.2,0,0
DIG-1154-B29-185,VeeLac Bolus,SKU-1154,B29,2022-08-16,2023-12-09,100,1.2,0.7,0,0
TOP-1155-B43-854,VeeTherm Gel,SKU-1155,B43,2023-11-01,2025-06-23,91,1.8,1.0,1,0
DIG-1156-B51-185,VeeLac Bolus,SKU-1156,B51,2023-03-21,2024-07-13,57,1.2,0.7,0,0
VIT-1157-B96-285,VeeVit-L Oral,SKU-1157,B96,2025-05-17,2026-05-12,145,0.5,0.3,0,0
ANT-1158-B48-295,VeeOxy-4000,SKU-1158,B48,2023-10-06,2024-11-29,63,2.8,1.4,1,1
DEW-1159-B80-795,VeeWormex Plus,SKU-1159,B80,2023-03-20,2025-03-09,82,0.6,0.25,0,0
ANT-1160-B12-295,VeeOxy-4000,SKU-1160,B12,2024-05-12,2025-07-06,109,2.8,1.4,1,1
DEW-1161-B12-795,VeeWormex Plus,SKU-1161,B12,2023-04-13,2025-04-02,61,0.6,0.25,0,0
IMM-1162-B41-384,VeeMune-L,SKU-1162,B41,2024-04-04,2025-01-29,103,1.0,0.6,0,1
DEW-1163-B50-795,VeeWormex Plus,SKU-1163,B50,2023-12-18,2025-12-07,104,0.6,0.25,0,0
DEW-1164-B84-795,VeeWormex Plus,SKU-1164,B84,2024-07-31,2026-07-21,66,0.6,0.25,0,0
IMM-1165-B10-384,VeeMune-L,SKU-1165,B10,2025-01-20,2025-11-16,121,1.0,0.6,0,1
VIT-1166-B12-285,VeeVit-L Oral,SKU-1166,B12,2024-09-16,2025-09-11,128,0.5,0.3,0,0
DEW-1167-B14-795,VeeWormex Plus,SKU-1167,B14,2023-12-01,2025-11-20,198,0.6,0.25,0,0
ANT-1168-B28-295,VeeOxy-4000,SKU-1168,B28,2024-05-03,2025-06-27,94,2.8,1.4,1,1
DIG-1169-B40-185,VeeLac Bolus,SKU-1169,B40,2025-02-03,2026-05-29,171,1.2,0.7,0,0
VIT-1170-B18-285,VeeVit-L Oral,SKU-1170,B18,2025-05-17,2026-05-12,95,0.5,0.3,0,0
VIT-1171-B66-285,VeeVit-L Oral,SKU-1171,B66,2023-02-11,2024-02-06,150,0.5,0.3,0,0
ANT-1172-B25-789,VeeCef Injection 1gm,SKU-1172,B25,2023-06-22,2024-08-15,190,3.0,1.5,1,1
DEW-1173-B47-795,VeeWormex Plus,SKU-1173,B47,2024-06-23,2026-06-13,111,0.6,0.25,0,0
ANT-1174-B28-789,VeeCef Injection 1gm,SKU-1174,B28,2022-08-02,2023-09-26,109,3.0,1.5,1,1
TOP-1175-B69-854,VeeTherm Gel,SKU-1175,B69,2024-04-03,2025-11-24,83,1.8,1.0,1,0
ANT-1176-B36-295,VeeOxy-4000,SKU-1176,B36,2024-03-15,2025-05-09,75,2.8,1.4,1,1
VIT-1177-B51-285,VeeVit-L Oral,SKU-1177,B51,2022-09-14,2023-09-09,129,0.5,0.3,0,0
VIT-1178-B91-285,VeeVit-L Oral,SKU-1178,B91,2023-06-15,2024-06-09,182,0.5,0.3,0,0
IMM-1179-B72-384,VeeMune-L,SKU-1179,B72,2025-04-10,2026-02-04,141,1.0,0.6,0,1
DIG-1180-B30-185,VeeLac Bolus,SKU-1180,B30,2023-01-15,2024-05-09,129,1.2,0.7,0,0
SUP-1181-B24-434,VeeCal-D Pet,SKU-1181,B24,2024-12-20,2026-06-13,173,2.5,1.2,0,0
TOP-1182-B91-854,VeeTherm Gel,SKU-1182,B91,2023-06-03,2025-01-23,64,1.8,1.0,1,0
ANT-1183-B78-295,VeeOxy-4000,SKU-1183,B78,2023-01-23,2024-03-18,107,2.8,1.4,1,1
TOP-1184-B46-854,VeeTherm Gel,SKU-1184,B46,2025-07-01,2027-02-21,72,1.8,1.0,1,0
DEW-1185-B90-795,VeeWormex Plus,SKU-1185,B90,2025-03-03,2027-02-21,154,0.6,0.25,0,0
DEW-1186-B57-795,VeeWormex Plus,SKU-1186,B57,2022-10-17,2024-10-06,160,0.6,0.25,0,0
IMM-1187-B20-384,VeeMune-L,SKU-1187,B20,2024-12-24,2025-10-20,91,1.0,0.6,0,1
IMM-1188-B54-384,VeeMune-L,SKU-1188,B54,2025-02-25,2025-12-22,161,1.0,0.6,0,1
DEW-1189-B52-795,VeeWormex Plus,SKU-1189,B52,2022-07-19,2024-07-08,199,0.6,0.25,0,0
ANT-1190-B75-295,VeeOxy-4000,SKU-1190,B75,2022-09-22,2023-11-16,100,2.8,1.4,1,1
ANT-1191-B13-789,VeeCef Injection 1gm,SKU-1191,B13,2025-01-18,2026-03-14,92,3.0,1.5,1,1
DIG-1192-B86-185,VeeLac Bolus,SKU-1192,B86,2023-02-12,2024-06-06,117,1.2,0.7,0,0
ANT-1193-B54-295,VeeOxy-4000,SKU-1193,B54,2023-12-17,2025-02-09,83,2.8,1.4,1,1
SUP-1194-B37-434,VeeCal-D Pet,SKU-1194,B37,2025-01-05,2026-06-29,158,2.5,1.2,0,0
DIG-1195-B51-185,VeeLac Bolus,SKU-1195,B51,2023-01-21,2024-05-15,200,1.2,0.7,0,0
ANT-1196-B20-295,VeeOxy-4000,SKU-1196,B20,2022-10-20,2023-12-14,142,2.8,1.4,1,1
DEW-1197-B65-795,VeeWormex Plus,SKU-1197,B65,2023-06-21,2025-06-10,156,0.6,0.25,0,0
SUP-1198-B11-434,VeeCal-D Pet,SKU-1198,B11,2022-09-30,2024-03-23,121,2.5,1.2,0,0
TOP-1199-B87-854,VeeTherm Gel,SKU-1199,B87,2023-06-06,2025-01-26,106,1.8,1.0,1,0
DEW-1200-B97-795,VeeWormex Plus,SKU-1200,B97,2023-09-25,2025-09-14,157,0.6,0.25,0,0
SUP-1201-B25-434,VeeCal-D Pet,SKU-1201,B25,2023-10-10,2025-04-02,141,2.5,1.2,0,0
VIT-1202-B11-285,VeeVit-L Oral,SKU-1202,B11,2023-11-10,2024-11-04,146,0.5,0.3,0,0
DIG-1203-B81-185,VeeLac Bolus,SKU-1203,B81,2023-10-13,2025-02-04,176,1.2,0.7,0,0
DIG-1204-B57-185,VeeLac Bolus,SKU-1204,B57,2024-05-17,2025-09-09,77,1.2,0.7,0,0
DEW-1205-B28-795,VeeWormex Plus,SKU-1205,B28,2022-12-25,2024-12-14,164,0.6,0.25,0,0
TOP-1206-B42-854,VeeTherm Gel,SKU-1206,B42,2025-03-04,2026-10-25,187,1.8,1.0,1,0
SUP-1207-B56-434,VeeCal-D Pet,SKU-1207,B56,2024-06-29,2025-12-21,71,2.5,1.2,0,0
SUP-1208-B34-434,VeeCal-D Pet,SKU-1208,B34,2023-02-05,2024-07-29,162,2.5,1.2,0,0
DEW-1209-B15-795,VeeWormex Plus,SKU-1209,B15,2024-01-11,2025-12-31,144,0.6,0.25,0,0
VIT-1210-B69-285,VeeVit-L Oral,SKU-1210,B69,2022-09-23,2023-09-18,184,0.5,0.3,0,0
DIG-1211-B51-185,VeeLac Bolus,SKU-1211,B51,2024-10-25,2026-02-17,145,1.2,0.7,0,0
VIT-1212-B35-285,VeeVit-L Oral,SKU-1212,B35,2023-11-10,2024-11-04,53,0.5,0.3,0,0
DEW-1213-B45-795,VeeWormex Plus,SKU-1213,B45,2025-04-10,2027-03-31,186,0.6,0.25,0,0
IMM-1214-B55-384,VeeMune-L,SKU-1214,B55,2022-11-03,2023-08-30,70,1.0,0.6,0,1
VIT-1215-B71-285,VeeVit-L Oral,SKU-1215,B71,2024-10-04,2025-09-29,108,0.5,0.3,0,0
VIT-1216-B34-285,VeeVit-L Oral,SKU-1216,B34,2022-09-03,2023-08-29,106,0.5,0.3,0,0
VIT-1217-B19-285,VeeVit-L Oral,SKU-1217,B19,2022-12-11,2023-12-06,177,0.5,0.3,0,0
VIT-1218-B61-285,VeeVit-L Oral,SKU-1218,B61,2024-10-31,2025-10-26,176,0.5,0.3,0,0
VIT-1219-B75-285,VeeVit-L Oral,SKU-1219,B75,2023-02-09,2024-02-04,75,0.5,0.3,0,0
DEW-1220-B11-795,VeeWormex Plus,SKU-1220,B11,2024-11-22,2026-11-12,124,0.6,0.25,0,0
VIT-1221-B58-285,VeeVit-L Oral,SKU-1221,B58,2025-02-21,2026-02-16,124,0.5,0.3,0,0
VIT-1222-B35-285,VeeVit-L Oral,SKU-1222,B35,2024-08-27,2025-08-22,87,0.5,0.3,0,0
TOP-1223-B92-854,VeeTherm Gel,SKU-1223,B92,2023-12-27,2025-08-18,66,1.8,1.0,1,0
TOP-1224-B78-854,VeeTherm Gel,SKU-1224,B78,2024-04-02,2025-11-23,80,1.8,1.0,1,0
DIG-1225-B51-185,VeeLac Bolus,SKU-1225,B51,2023-03-11,2024-07-03,114,1.2,0.7,0,0
IMM-1226-B37-384,VeeMune-L,SKU-1226,B37,2022-09-23,2023-07-20,77,1.0,0.6,0,1
IMM-1227-B64-384,VeeMune-L,SKU-1227,B64,2023-05-05,2024-02-29,97,1.0,0.6,0,1
IMM-1228-B35-384,VeeMune-L,SKU-1228,B35,2023-05-27,2024-03-22,102,1.0,0.6,0,1
